device,memory,internal_storage,os_price,dual_sim,esim,memory_slot,5g,nfc,body_length,body_width,body_thickness,weight,battery,display_type,display_size,display_res,refesh_rate,display_hdr
Apple iPhone 13,4,128,15200,TRUE,TRUE,FALSE,TRUE,TRUE,146.7,71.5,7.7,174,3240,OLED,6.1,1170,60,TRUE
Apple iPhone 13,4,512,19500,TRUE,TRUE,FALSE,TRUE,TRUE,146.7,71.5,7.7,174,3240,OLED,6.1,1170,60,TRUE
Apple iPhone 14,6,128,16000,TRUE,TRUE,FALSE,TRUE,TRUE,146.7,71.5,7.8,172,3279,OLED,6.1,1170,60,TRUE
Apple iPhone 14,6,256,19000,TRUE,TRUE,FALSE,TRUE,TRUE,146.7,71.5,7.8,172,3279,OLED,6.1,1170,60,TRUE
Apple iPhone 14,6,512,23000,TRUE,TRUE,FALSE,TRUE,TRUE,146.7,71.5,7.8,172,3279,OLED,6.1,1170,60,TRUE
Apple iPhone 14 Plus,6,128,18000,TRUE,TRUE,FALSE,TRUE,TRUE,160.8,78.1,7.8,203,4323,OLED,6.7,1284,60,TRUE
Apple iPhone 14 Plus,6,256,21000,TRUE,TRUE,FALSE,TRUE,TRUE,160.8,78.1,7.8,203,4323,OLED,6.7,1284,60,TRUE
Apple iPhone 14 Plus,6,512,25000,TRUE,TRUE,FALSE,TRUE,TRUE,160.8,78.1,7.8,203,4323,OLED,6.7,1284,60,TRUE
Apple iPhone 14 Pro,6,1024,31000,TRUE,TRUE,FALSE,TRUE,TRUE,147.5,71.5,7.9,206,3200,OLED,6.1,1179,120,TRUE
Apple iPhone SE 2022,4,128,9500,FALSE,TRUE,FALSE,TRUE,TRUE,138.4,67.3,7.3,144,2018,IPS,4.7,750,60,FALSE
Apple iPhone SE 2022,4,64,8000,FALSE,TRUE,FALSE,TRUE,TRUE,138.4,67.3,7.3,144,2018,IPS,4.7,750,60,FALSE
Asus ROG Phone 5s Pro,18,512,17000,TRUE,FALSE,FALSE,TRUE,TRUE,172.8,77.3,9.9,238,6000,OLED,6.78,1080,144,TRUE
Asus ROG Phone 5s Pro,12,256,12000,TRUE,FALSE,FALSE,TRUE,TRUE,172.8,77.3,9.9,238,6000,OLED,6.78,1080,144,TRUE
Asus ROG Phone 5s Pro,8,128,7500,TRUE,FALSE,FALSE,TRUE,TRUE,172.8,77.3,9.9,238,6000,OLED,6.78,1080,144,TRUE
Asus ROG Phone 6,8,256,11000,TRUE,FALSE,FALSE,TRUE,TRUE,173,77,10.3,239,6000,OLED,6.78,1080,165,TRUE
Asus ROG Phone 6 Pro,18,512,19000,TRUE,TRUE,FALSE,TRUE,TRUE,173,77,10.3,239,6000,OLED,6.78,1080,165,TRUE
Asus Zenfone 9,6,128,8000,TRUE,FALSE,FALSE,TRUE,TRUE,146.5,68.1,9.1,169,4300,OLED,5.9,1080,120,TRUE
HUAWEI Nova 9,8,256,6000,TRUE,FALSE,FALSE,FALSE,TRUE,160,73.7,7.8,175,4300,OLED,6.57,1080,120,TRUE
HUAWEI P50 Pro,8,256,13000,TRUE,FALSE,TRUE,FALSE,TRUE,158.8,72.8,8.5,195,4360,OLED,6.6,1228,120,FALSE
INFINIX Hot 11 Play,3,32,1500,TRUE,FALSE,TRUE,FALSE,FALSE,171.8,78,8.9,nan,6000,IPS,6.82,720,60,FALSE
INFINIX Hot 11 Play,4,64,1650,TRUE,FALSE,TRUE,FALSE,FALSE,171.8,78,8.9,nan,6000,IPS,6.82,720,60,FALSE
INFINIX Hot 11S,4,64,1970,TRUE,FALSE,TRUE,FALSE,FALSE,168.9,77,8.8,205,5000,IPS,6.78,1080,90,FALSE
INFINIX Hot 12,6,128,2080,TRUE,FALSE,TRUE,FALSE,FALSE,170.5,77.6,8.3,195,5000,IPS,6.82,720,90,FALSE
INFINIX Hot 12 Play,4,64,1570,TRUE,FALSE,TRUE,FALSE,FALSE,171,78,8.9,209,6000,IPS,6.82,720,90,FALSE
INFINIX Hot 12 Play,4,128,1700,TRUE,FALSE,TRUE,FALSE,FALSE,171,78,8.9,209,6000,IPS,6.82,720,90,FALSE
INFINIX Hot 12 Play NFC,4,64,1600,TRUE,FALSE,TRUE,FALSE,TRUE,171,78,8.9,209,6000,IPS,6.82,720,90,FALSE
INFINIX Hot 12i,4,64,1500,TRUE,FALSE,TRUE,FALSE,FALSE,164.8,76.4,8.8,190,5000,IPS,6.6,720,60,FALSE
INFINIX Hot 20 5G,4,128,2450,TRUE,FALSE,TRUE,TRUE,TRUE,166.3,76.5,8.9,204,5000,IPS,6.58,1080,120,FALSE
INFINIX Note 12,8,128,2640,TRUE,FALSE,TRUE,FALSE,FALSE,164.4,76.7,7.9,184.5,5000,OLED,6.7,1080,60,FALSE
INFINIX Note 12,8,256,2760,TRUE,FALSE,TRUE,FALSE,FALSE,164.4,76.7,7.9,184.5,5000,OLED,6.7,1080,60,FALSE
INFINIX Note 12 VIP NFC,8,256,3770,TRUE,FALSE,TRUE,FALSE,TRUE,163.5,76.7,7.9,199,4500,OLED,6.7,1080,120,FALSE
INFINIX Note 12i,6,128,2100,TRUE,FALSE,TRUE,FALSE,FALSE,164.5,76.7,7.8,188,5000,OLED,6.7,1080,90,FALSE
INFINIX Smart 6,2,32,1170,TRUE,FALSE,TRUE,FALSE,FALSE,167,75.5,8.5,199,5000,IPS,6.6,720,60,FALSE
INFINIX Smart 6,3,64,1400,TRUE,FALSE,TRUE,FALSE,FALSE,167,75.5,8.5,199,5000,IPS,6.6,720,60,FALSE
INFINIX Smart 6 HD,2,32,1150,TRUE,FALSE,TRUE,FALSE,FALSE,165.6,76.4,9.1,nan,5000,IPS,6.6,720,60,FALSE
INFINIX Smart 6 NFC,2,32,1160,TRUE,FALSE,TRUE,FALSE,TRUE,167,75.5,8.5,199,5000,IPS,6.6,720,60,FALSE
INFINIX Smart 6+,3,64,1360,TRUE,FALSE,TRUE,FALSE,FALSE,172.6,77.7,8.7,202,5000,IPS,6.82,720,60,FALSE
INFINIX Zero Ultra,8,256,6320,TRUE,FALSE,TRUE,TRUE,TRUE,165.5,74.5,8.8,213,4500,OLED,6.8,1080,120,FALSE
INFINIX Zero X Pro,8,256,4720,TRUE,FALSE,TRUE,FALSE,FALSE,164.1,75.7,7.8,193,4500,OLED,6.67,1080,120,FALSE
OPPO A16,4,64,1900,TRUE,FALSE,TRUE,FALSE,FALSE,163.8,75.6,8.4,190,5000,IPS,6.52,720,60,FALSE
OPPO A16,3,32,1450,TRUE,FALSE,TRUE,FALSE,FALSE,163.8,75.6,8.4,190,5000,IPS,6.52,720,60,FALSE
OPPO A16e,3,32,1450,TRUE,FALSE,TRUE,FALSE,FALSE,164,75.5,7.9,175,4230,IPS,6.52,720,60,FALSE
OPPO A16k,4,64,1800,TRUE,FALSE,TRUE,FALSE,FALSE,164,75.5,7.9,175,4230,IPS,6.52,720,60,FALSE
OPPO A17k,3,64,1800,TRUE,FALSE,TRUE,FALSE,FALSE,164.2,75.6,8.2,189,5000,IPS,6.56,720,60,FALSE
OPPO A17k,4,64,2100,TRUE,FALSE,TRUE,FALSE,FALSE,164.2,75.6,8.2,189,5000,IPS,6.56,720,60,FALSE
OPPO A53,4,128,2100,TRUE,FALSE,TRUE,FALSE,FALSE,163.9,75.1,8.4,186,5000,IPS,6.5,720,90,FALSE
OPPO A55,4,64,2100,TRUE,FALSE,TRUE,FALSE,FALSE,163.6,75.7,8.4,193,5000,IPS,6.51,720,60,FALSE
OPPO A57,4,64,2400,TRUE,FALSE,TRUE,FALSE,FALSE,163.8,75.1,8,186,5000,IPS,6.56,720,90,FALSE
OPPO A76,6,128,3000,TRUE,FALSE,TRUE,FALSE,FALSE,164.4,75.7,8.4,189,5000,IPS,6.56,720,90,FALSE
OPPO A77s,8,128,3500,TRUE,FALSE,TRUE,FALSE,TRUE,163.8,75,8,187,5000,IPS,6.56,720,90,FALSE
OPPO A95,8,128,3500,TRUE,FALSE,TRUE,FALSE,FALSE,160.3,73.8,8,175,5000,OLED,6.43,1080,60,FALSE
OPPO A96,8,256,4100,TRUE,FALSE,TRUE,FALSE,FALSE,164.4,75.7,8.4,191,5000,IPS,6.59,1080,90,FALSE
OPPO FIND X5 PRO 5G,12,256,15000,FALSE,TRUE,FALSE,TRUE,TRUE,163.7,73.9,8.5,218,5000,OLED,6.7,1440,120,TRUE
OPPO Reno6,8,128,4300,TRUE,FALSE,FALSE,FALSE,TRUE,159.1,73.3,7.8,173,4310,OLED,6.4,1080,90,FALSE
OPPO Reno6 5G,8,128,6000,TRUE,FALSE,FALSE,FALSE,TRUE,156.8,72.1,7.6,182,4300,OLED,6.43,1080,90,FALSE
OPPO Reno7 5G,8,256,7000,TRUE,FALSE,TRUE,TRUE,TRUE,160.6,73.2,7.8,173,4500,OLED,6.43,1080,90,TRUE
OPPO Reno7 Z 5G,8,128,5600,TRUE,FALSE,TRUE,TRUE,TRUE,159.9,73.2,7.5,173,4500,OLED,6.43,1080,60,FALSE
OPPO Reno8 4G,8,256,5000,TRUE,FALSE,TRUE,FALSE,TRUE,159.9,73.2,7.7,182,4500,OLED,6.43,1080,90,FALSE
OPPO Reno8 5G,8,256,8000,TRUE,FALSE,FALSE,TRUE,TRUE,160.6,73.4,7.7,179,4500,OLED,6.4,1080,90,FALSE
OPPO Reno8 Pro 5G,12,256,10300,TRUE,FALSE,FALSE,TRUE,TRUE,161.2,74.2,7.3,183,4500,OLED,6.7,1080,120,TRUE
OPPO Reno8 Z 5G,8,256,6000,TRUE,FALSE,TRUE,TRUE,TRUE,159.9,73.2,7.7,181,4500,OLED,6.43,1080,60,FALSE
realme 9 Pro+,8,128,4700,TRUE,FALSE,FALSE,TRUE,TRUE,160.2,73.3,8,182,4500,OLED,6.4,1080,90,FALSE
realme 9 Pro+,8,256,5500,TRUE,FALSE,FALSE,TRUE,TRUE,160.2,73.3,8,182,4500,OLED,6.4,1080,90,FALSE
realme 9i,6,128,3000,TRUE,FALSE,TRUE,FALSE,TRUE,164.4,75.7,8.4,190,5000,IPS,6.6,1080,90,FALSE
realme C11,2,32,1300,TRUE,FALSE,TRUE,FALSE,FALSE,165.2,76.4,8.9,190,5000,IPS,6.52,720,60,FALSE
realme C11,4,64,1650,TRUE,FALSE,TRUE,FALSE,FALSE,165.2,76.4,8.9,190,5000,IPS,6.52,720,60,FALSE
realme C30,2,32,1300,TRUE,FALSE,TRUE,FALSE,FALSE,164.7,75.6,8.5,182,5000,IPS,6.5,720,60,FALSE
realme C30,4,64,1600,TRUE,FALSE,TRUE,FALSE,FALSE,164.7,75.6,8.5,182,5000,IPS,6.5,720,60,FALSE
realme C33,3,32,1600,TRUE,FALSE,TRUE,FALSE,FALSE,164.2,75.7,8.3,187,5000,IPS,6.5,720,60,FALSE
realme C33,4,64,1800,TRUE,FALSE,TRUE,FALSE,FALSE,164.2,75.7,8.3,187,5000,IPS,6.5,720,60,FALSE
realme C35,4,64,2300,TRUE,FALSE,TRUE,FALSE,FALSE,164.4,75.6,8.1,189,5000,IPS,6.6,1080,60,FALSE
realme C35,4,128,2500,TRUE,FALSE,TRUE,FALSE,FALSE,164.4,75.6,8.1,189,5000,IPS,6.6,1080,60,FALSE
realme Narzo 50 4G,4,64,2200,TRUE,FALSE,TRUE,FALSE,FALSE,164.1,75.5,8.5,194,5000,IPS,6.6,1080,120,FALSE
realme Narzo 50 5G,6,128,3200,TRUE,FALSE,TRUE,TRUE,FALSE,163.8,75.1,8.1,190,5000,IPS,6.6,1080,90,FALSE
realme Narzo 50A Prime,4,64,1800,TRUE,FALSE,TRUE,FALSE,FALSE,164.4,75.6,8.1,189,5000,IPS,6.6,1080,60,FALSE
realme Narzo 50A Prime,4,128,2000,TRUE,FALSE,TRUE,FALSE,FALSE,164.4,75.6,8.1,189,5000,IPS,6.6,1080,60,FALSE
realme Narzo 50i Prime,3,32,1350,TRUE,FALSE,TRUE,FALSE,FALSE,164.1,75.6,8.5,182,5000,IPS,6.5,720,60,FALSE
realme Narzo 50i Prime,4,64,1550,TRUE,FALSE,TRUE,FALSE,FALSE,164.1,75.6,8.5,182,5000,IPS,6.5,720,60,FALSE
Samsung Galaxy A03 Core,2,32,1200,TRUE,FALSE,TRUE,FALSE,FALSE,164.2,75.9,9.1,211,5000,IPS,6.5,720,60,FALSE
Samsung Galaxy A04,4,64,1800,TRUE,FALSE,TRUE,FALSE,FALSE,164.4,76.3,9.1,192,5000,IPS,6.5,720,60,FALSE
Samsung Galaxy A04,3,32,1450,TRUE,FALSE,TRUE,FALSE,FALSE,164.4,76.3,9.1,192,5000,IPS,6.5,720,60,FALSE
Samsung Galaxy A04e,3,32,1300,TRUE,FALSE,TRUE,FALSE,FALSE,164.2,75.9,9.1,188,5000,IPS,6.5,720,60,FALSE
Samsung Galaxy A04s,4,64,2100,TRUE,FALSE,TRUE,FALSE,TRUE,164.7,76.7,9.1,195,5000,IPS,6.5,720,90,FALSE
Samsung Galaxy A13,4,64,2200,TRUE,FALSE,TRUE,FALSE,TRUE,165.1,76.4,8.8,195,5000,IPS,6.6,1080,60,FALSE
Samsung Galaxy A13,6,128,2700,TRUE,FALSE,TRUE,FALSE,TRUE,165.1,76.4,8.8,195,5000,IPS,6.6,1080,60,FALSE
Samsung Galaxy A13,4,128,2500,TRUE,FALSE,TRUE,FALSE,TRUE,165.1,76.4,8.8,195,5000,IPS,6.6,1080,60,FALSE
Samsung Galaxy A23 5G,6,128,4000,TRUE,FALSE,TRUE,TRUE,TRUE,165.4,76.9,8.4,197,5000,IPS,6.6,1080,120,FALSE
Samsung Galaxy A23 5G,6,128,3300,TRUE,FALSE,TRUE,TRUE,TRUE,165.4,76.9,8.4,197,5000,IPS,6.6,1080,120,FALSE
Samsung Galaxy A33 5G,8,256,5000,TRUE,FALSE,TRUE,TRUE,TRUE,159.7,74,8.1,186,5000,OLED,6.4,1080,90,FALSE
Samsung Galaxy A33 5G,8,128,4500,TRUE,FALSE,TRUE,TRUE,TRUE,159.7,74,8.1,186,5000,OLED,6.4,1080,90,FALSE
Samsung Galaxy A52s 5G,8,128,5500,TRUE,FALSE,TRUE,TRUE,TRUE,159.9,75.1,8.4,189,4500,OLED,6.5,1080,120,FALSE
Samsung Galaxy A53 5G,8,256,6000,TRUE,FALSE,TRUE,TRUE,TRUE,159.6,74.8,8.1,189,5000,OLED,6.5,1080,120,FALSE
Samsung Galaxy A53 5G,8,128,5500,TRUE,FALSE,TRUE,TRUE,TRUE,159.6,74.8,8.1,189,5000,OLED,6.5,1080,120,FALSE
Samsung Galaxy A73 5G,8,256,7500,TRUE,FALSE,TRUE,TRUE,TRUE,163.7,76.1,7.6,181,5000,OLED,6.7,1080,120,FALSE
Samsung Galaxy M23 5G,6,128,3500,TRUE,FALSE,TRUE,TRUE,TRUE,165.5,77,8.4,198,5000,IPS,6.6,1080,120,FALSE
Samsung Galaxy M32,6,128,2700,TRUE,FALSE,TRUE,FALSE,TRUE,159.3,74,8.4,180,5000,OLED,6.4,1080,90,FALSE
Samsung Galaxy S21 FE 5G,8,128,8250,TRUE,FALSE,FALSE,TRUE,TRUE,155.7,74.5,7.9,177,4500,OLED,6.4,1080,120,TRUE
Samsung Galaxy S21 FE 5G,8,256,9000,TRUE,FALSE,FALSE,TRUE,TRUE,155.7,74.5,7.9,177,4500,OLED,6.4,1080,120,TRUE
Samsung Galaxy S22 5G,8,256,12000,TRUE,TRUE,FALSE,TRUE,TRUE,146,70.6,7.6,167,3700,OLED,6.1,1080,120,TRUE
Samsung Galaxy S22 Ultra 5G,12,512,20000,TRUE,TRUE,FALSE,TRUE,TRUE,163.3,77.9,8.9,228,5000,OLED,6.8,1440,120,TRUE
Samsung Galaxy S22+,8,256,14750,TRUE,TRUE,FALSE,TRUE,TRUE,157.4,75.8,7.6,195,4500,OLED,6.6,1080,120,TRUE
Samsung Galaxy Z Flip4 5G,8,512,17000,FALSE,TRUE,FALSE,TRUE,TRUE,165.2,71.9,6.9,187,3700,OLED,6.7,1080,120,TRUE
Samsung Galaxy Z Flip4 5G,8,256,15000,FALSE,TRUE,FALSE,TRUE,TRUE,165.2,71.9,6.9,187,3700,OLED,6.7,1080,120,TRUE
Samsung Galaxy Z Flip4 5G,8,128,14000,FALSE,TRUE,FALSE,TRUE,TRUE,165.2,71.9,6.9,187,3700,OLED,6.7,1080,120,TRUE
Samsung Galaxy Z Fold4 5G,12,512,27000,TRUE,TRUE,FALSE,TRUE,TRUE,155.1,130.1,6.3,263,4400,OLED,7.6,1812,120,TRUE
Samsung Galaxy Z Fold4 5G,12,256,25000,TRUE,TRUE,FALSE,TRUE,TRUE,155.1,130.1,6.3,263,4400,OLED,7.6,1812,120,TRUE
TECNO POP 5 LTE,3,32,1170,TRUE,FALSE,TRUE,FALSE,FALSE,164.9,76.1,8.8,nan,5000,IPS,6.52,720,60,FALSE
TECNO POP 5 LTE,2,32,970,TRUE,FALSE,TRUE,FALSE,FALSE,164.9,76.1,8.8,nan,5000,IPS,6.52,720,60,FALSE
TECNO POVA 4 Pro,8,128,2800,TRUE,FALSE,FALSE,FALSE,TRUE,164.8,77,9.2,nan,6000,OLED,6.66,1080,90,FALSE
TECNO POVA 4 Pro,8,256,3000,TRUE,FALSE,FALSE,FALSE,TRUE,164.8,77,9.2,nan,6000,OLED,6.66,1080,90,FALSE
TECNO POVA NEO 2,4,128,1800,TRUE,FALSE,TRUE,FALSE,TRUE,170.9,77.8,9.6,nan,7000,IPS,6.82,720,90,FALSE
TECNO POVA NEO 2,6,128,2100,TRUE,FALSE,TRUE,FALSE,TRUE,170.9,77.8,9.6,nan,7000,IPS,6.82,720,90,FALSE
TECNO Spark 8C,4,64,1350,TRUE,FALSE,TRUE,FALSE,TRUE,164.6,76,9,nan,5000,IPS,6.6,720,90,FALSE
TECNO Spark 9T,4,64,1400,TRUE,FALSE,TRUE,FALSE,FALSE,164.3,75.6,8.7,nan,5000,IPS,6.6,720,90,FALSE
vivo T1 5G,8,128,3100,TRUE,FALSE,TRUE,TRUE,TRUE,164,75.8,8.3,187,5000,IPS,6.58,1080,120,FALSE
vivo T1 5G,4,128,2500,TRUE,FALSE,TRUE,TRUE,TRUE,164,75.8,8.3,187,5000,IPS,6.58,1080,120,FALSE
vivo T1 Pro 5G,8,128,4100,TRUE,FALSE,FALSE,TRUE,TRUE,159.7,73.6,8.5,180.3,4700,OLED,6.44,1080,60,TRUE
vivo V25,8,256,6000,TRUE,FALSE,TRUE,TRUE,TRUE,159.2,74.2,7.8,186,4500,OLED,6.44,1080,90,TRUE
vivo V25 Pro,12,256,9000,TRUE,FALSE,FALSE,TRUE,TRUE,168.9,73.5,8.6,190,4830,OLED,6.56,1080,120,TRUE
vivo V25e,12,256,4800,TRUE,FALSE,TRUE,FALSE,TRUE,159.2,74.2,7.8,183,4500,OLED,6.44,1080,90,FALSE
vivo V25e,8,128,4000,TRUE,FALSE,TRUE,FALSE,TRUE,159.2,74.2,7.8,183,4500,OLED,6.44,1080,90,FALSE
vivo V25e,8,256,4300,TRUE,FALSE,TRUE,FALSE,TRUE,159.2,74.2,7.8,183,4500,OLED,6.44,1080,90,FALSE
vivo X80,12,256,11000,TRUE,FALSE,FALSE,TRUE,TRUE,165,75.2,8.3,203,4500,OLED,6.78,1080,120,TRUE
vivo X80 Pro,12,256,16000,TRUE,FALSE,FALSE,TRUE,TRUE,164.6,75.3,9.1,215,4700,OLED,6.78,1440,120,TRUE
vivo Y01,2,32,1400,TRUE,FALSE,TRUE,FALSE,FALSE,164,75.2,8.3,178,5000,IPS,6.51,720,60,FALSE
vivo Y15s,3,64,1900,TRUE,FALSE,TRUE,FALSE,FALSE,164,75.2,8.3,179,5000,IPS,6.51,720,60,FALSE
vivo Y15s,3,32,1700,TRUE,FALSE,TRUE,FALSE,FALSE,164,75.2,8.3,179,5000,IPS,6.51,720,60,FALSE
vivo Y16,3,64,1900,TRUE,FALSE,TRUE,FALSE,FALSE,164,75.6,8.2,184,5000,IPS,6.51,720,60,FALSE
vivo Y16,3,32,1800,TRUE,FALSE,TRUE,FALSE,FALSE,164,75.6,8.2,184,5000,IPS,6.51,720,60,FALSE
vivo Y21A,4,64,2100,TRUE,FALSE,TRUE,FALSE,FALSE,164,76.1,8,182,5000,IPS,6.51,720,60,FALSE
vivo Y21s,4,128,2700,TRUE,FALSE,TRUE,FALSE,FALSE,164,76.1,8,182,5000,IPS,6.51,720,60,FALSE
vivo Y21T,6,128,2500,TRUE,FALSE,TRUE,FALSE,FALSE,164,76.1,8,182,5000,IPS,6.51,720,60,FALSE
vivo Y22,6,128,3000,TRUE,FALSE,TRUE,FALSE,FALSE,164.3,76.1,8.4,190,5000,IPS,6.55,720,60,FALSE
vivo Y22,4,64,2400,TRUE,FALSE,TRUE,FALSE,FALSE,164.3,76.1,8.4,190,5000,IPS,6.55,720,60,FALSE
vivo Y33T,8,128,2800,TRUE,FALSE,TRUE,FALSE,FALSE,164,76.1,8,182,5000,IPS,6.58,1080,60,FALSE
vivo Y35,8,128,3400,TRUE,FALSE,TRUE,FALSE,FALSE,164,76.1,8.3,188,5000,IPS,6.58,1080,90,FALSE
Xiaomi 11T Pro,8,256,5700,TRUE,FALSE,FALSE,TRUE,TRUE,164.1,76.9,8.8,204,5000,OLED,6.67,1080,120,TRUE
Xiaomi 12 Lite 5G,8,256,5450,TRUE,FALSE,FALSE,TRUE,TRUE,159.3,73.7,7.3,173,4300,OLED,6.55,1080,120,TRUE
Xiaomi 12 Pro,12,256,12300,TRUE,FALSE,FALSE,TRUE,TRUE,163.6,74.6,8.2,204,4600,OLED,6.73,1440,120,TRUE
Xiaomi POCO C40,4,64,1730,TRUE,FALSE,TRUE,FALSE,FALSE,169.6,76.6,9.2,204,6000,IPS,6.71,720,60,FALSE
Xiaomi POCO C40,3,32,1530,TRUE,FALSE,TRUE,FALSE,FALSE,169.6,76.6,9.2,204,6000,IPS,6.71,720,60,FALSE
Xiaomi POCO F4,6,128,4900,TRUE,FALSE,FALSE,TRUE,TRUE,163.2,76,7.7,195,4500,OLED,6.67,1080,120,TRUE
Xiaomi POCO F4 GT,12,256,8300,TRUE,FALSE,FALSE,TRUE,TRUE,162.5,76.7,8.5,210,4700,OLED,6.67,1080,120,TRUE
Xiaomi POCO M3 Pro 5G,4,64,2500,TRUE,FALSE,TRUE,TRUE,TRUE,161.8,75.3,8.9,190,5000,IPS,6.5,1080,90,FALSE
Xiaomi POCO M4 Pro,6,128,2850,TRUE,FALSE,TRUE,FALSE,TRUE,159.9,73.9,8.1,179.5,5000,OLED,6.43,1080,90,FALSE
Xiaomi POCO M4 Pro,8,256,3300,TRUE,FALSE,TRUE,FALSE,TRUE,159.9,73.9,8.1,179.5,5000,OLED,6.43,1080,90,FALSE
Xiaomi POCO M5,4,64,2100,TRUE,FALSE,TRUE,FALSE,TRUE,164,76.1,8.9,201,5000,IPS,6.58,1080,90,FALSE
Xiaomi POCO M5,4,128,2300,TRUE,FALSE,TRUE,FALSE,TRUE,164,76.1,8.9,201,5000,IPS,6.58,1080,90,FALSE
Xiaomi POCO M5s,4,64,2300,TRUE,FALSE,TRUE,FALSE,TRUE,160.5,74.5,8.3,178.8,5000,OLED,6.43,1080,60,FALSE
Xiaomi POCO M5s,6,128,2600,TRUE,FALSE,TRUE,FALSE,TRUE,160.5,74.5,8.3,178.8,5000,OLED,6.43,1080,60,FALSE
Xiaomi Redmi 10,4,64,1900,TRUE,FALSE,TRUE,FALSE,FALSE,162,75.5,8.9,181,5000,IPS,6.5,1080,90,FALSE
Xiaomi Redmi 10,6,128,2300,TRUE,FALSE,TRUE,FALSE,FALSE,162,75.5,8.9,181,5000,IPS,6.5,1080,90,FALSE
Xiaomi Redmi 10 5G,6,128,2700,TRUE,FALSE,TRUE,TRUE,FALSE,161.8,75.3,8.9,190,5000,IPS,6.5,1080,90,FALSE
Xiaomi Redmi 10 5G,4,128,2450,TRUE,FALSE,TRUE,TRUE,FALSE,161.8,75.3,8.9,190,5000,IPS,6.5,1080,90,FALSE
Xiaomi Redmi 10A,3,32,1350,TRUE,FALSE,TRUE,FALSE,FALSE,164.9,77.1,9,194,5000,IPS,6.53,720,60,FALSE
Xiaomi Redmi 10C,4,64,1750,TRUE,FALSE,TRUE,FALSE,FALSE,169.6,76.6,8.3,190,5000,IPS,6.71,720,60,FALSE
Xiaomi Redmi 10C,4,128,1950,TRUE,FALSE,TRUE,FALSE,FALSE,169.6,76.6,8.3,190,5000,IPS,6.71,720,60,FALSE
Xiaomi Redmi 9A,3,32,1250,TRUE,FALSE,TRUE,FALSE,FALSE,164.9,77.1,9,196,5000,IPS,6.53,720,60,FALSE
Xiaomi Redmi 9C,4,64,1500,TRUE,FALSE,TRUE,FALSE,FALSE,164.9,77,9,196,5000,IPS,6.53,720,60,FALSE
Xiaomi Redmi 9C,3,32,1300,TRUE,FALSE,TRUE,FALSE,FALSE,164.9,77,9,196,5000,IPS,6.53,720,60,FALSE
Xiaomi Redmi A1,2,32,1150,TRUE,FALSE,TRUE,FALSE,FALSE,164.9,76.8,9.1,192,5000,IPS,6.52,720,60,FALSE
Xiaomi Redmi A1,3,32,1250,TRUE,FALSE,TRUE,FALSE,FALSE,164.9,76.8,9.1,192,5000,IPS,6.52,720,60,FALSE
Xiaomi Redmi Note 10,4,128,2500,TRUE,FALSE,TRUE,FALSE,FALSE,160.5,74.5,8.3,178.8,5000,OLED,6.43,1080,60,FALSE
Xiaomi Redmi Note 11,4,128,2400,TRUE,FALSE,TRUE,FALSE,TRUE,159.9,73.9,8.1,179,5000,OLED,6.43,1080,90,FALSE
Xiaomi Redmi Note 11,6,128,2700,TRUE,FALSE,TRUE,FALSE,TRUE,159.9,73.9,8.1,179,5000,OLED,6.43,1080,90,FALSE
Xiaomi Redmi Note 11 Pro,8,128,3700,TRUE,FALSE,TRUE,FALSE,TRUE,164.2,76.1,8.1,202,5000,OLED,6.67,1080,120,FALSE
Xiaomi Redmi Note 11 Pro,6,128,3400,TRUE,FALSE,TRUE,FALSE,TRUE,164.2,76.1,8.1,202,5000,OLED,6.67,1080,120,FALSE
Xiaomi Redmi Note 11 Pro 5G,8,128,4100,TRUE,FALSE,TRUE,TRUE,TRUE,164.2,76.1,8.1,202,5000,OLED,6.67,1080,120,FALSE